sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
sector 22,flat,ambience creacions,2.55,13709.0,1860.0,Super Built up area 1860(172.8 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,5.0,North-East,Relatively new property,1860.0,1600.0,1400.0,0,0,0,0,0,2,49
sector 57,house,independent,3.49,20197.0,1727.98,Plot area 192(160.54 sq.m.),4,4,2,3.0,South-East,Moderately New Property,,1728.0,,1,1,0,1,0,0,49
sector 49,house,eros rosewood city,4.05,20769.0,1950.02,Plot area 1710(158.86 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3,3,3,2.0,East,Moderately New Property,,2000.0,1950.0,1,0,0,0,1,1,46
sector 68,flat,supertech hues,0.9,7627.0,1180.0,Carpet area: 1180 (109.63 sq.m.),2,2,2,1.0,East,New Property,,,1180.0,0,0,0,0,0,1,44
sector 67,flat,ireo victory valley,4.55,14536.0,3130.0,Super Built up area 3130(290.79 sq.m.),4,4,3+,19.0,South,Relatively new property,3130.0,,,1,0,0,0,0,0,156
sector 52,house,ardee city,2.25,16071.0,1400.04,Plot area 2160(200.67 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,4.0,South-East,New Property,,1800.0,1400.0,1,0,0,0,0,0,22
sector 103,flat,indiabulls centrum park,1.32,7787.0,1695.0,Super Built up area 1695(157.47 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3+,6.0,North-East,Relatively new property,1695.0,1300.0,1200.0,0,1,0,0,0,1,49
sector 68,flat,supertech new soft launch,0.84,7119.0,1180.0,Built Up area: 1180 (109.63 sq.m.),2,2,2,7.0,East,Undefined,,1180.0,,0,0,0,0,0,1,0
sector 55,flat,siddhi vinayak apartments,1.44,9600.0,1500.0,Super Built up area 1850(171.87 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,2,6.0,South,Moderately New Property,1850.0,1700.0,1500.0,0,0,1,0,0,0,47
sector 33,flat,unitech the residences,1.35,8737.0,1545.0,Super Built up area 1545(143.54 sq.m.),3,4,2,8.0,North-East,Moderately New Property,1545.0,,,1,0,0,0,0,1,49
sector 26,house,independent,20.0,44444.0,4500.05,Plot area 500(418.06 sq.m.),5,7,3+,3.0,West,Relatively new property,,4500.0,,1,0,0,1,0,2,97
sector 65,flat,emaar mgf emerald floors premier,2.9,14683.0,1975.0,Super Built up area 1975(183.48 sq.m.),4,4,3+,4.0,North-East,Relatively new property,1975.0,,,1,1,0,0,0,0,152
sector 53,flat,parsvnath exotica,4.8,14680.0,3270.0,Built Up area: 2895 (268.95 sq.m.),3,4,3+,12.0,North-West,New Property,,2895.0,,0,0,0,0,0,1,69
sector 48,flat,central park 2 bellevue,2.75,10754.0,2557.0,Super Built up area 2557(237.55 sq.m.)Carpet area: 2550 sq.ft. (236.9 sq.m.),3,4,3+,3.0,Na,Moderately New Property,2557.0,,2550.0,0,0,0,0,0,1,32
sector 102,flat,shapoorji pallonji joyville gurugram,1.4,10378.0,1349.0,Super Built up area 1349(125.33 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,11.0,North-East,New Property,1349.0,,1000.0,0,0,0,0,0,0,49
sector 81,flat,signature global synera,0.39,6500.0,600.0,Carpet area: 600 (55.74 sq.m.),2,2,2,6.0,South-West,Relatively new property,,,600.0,0,0,0,0,0,1,37
sector 43,flat,dlf the grove,6.0,25000.0,2400.0,Carpet area: 2400 (222.97 sq.m.),4,4,2,1.0,South-West,Under Construction,,,2400.0,1,0,0,0,0,0,49
sohna road,flat,signature global park,0.67,5537.0,1210.0,Super Built up area 1210(112.41 sq.m.),2,2,3,4.0,North-East,Relatively new property,1210.0,,,0,0,0,1,0,1,127
sector 4,house,independent,0.67,88157.0,76.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively new property,,76.0,,0,0,1,0,0,1,7
sector 68,flat,pareena mi casa,1.15,9236.0,1245.0,Super Built up area 1245(115.66 sq.m.),2,2,3,8.0,East,New Property,1245.0,,,0,0,0,0,0,1,49
sohna road,flat,eldeco accolade,0.71,5607.0,1266.0,Super Built up area 1275(118.45 sq.m.),2,2,3,10.0,North-East,Relatively new property,1275.0,,,0,0,0,0,0,1,159
sector 89,flat,smart world gems,0.95,8903.0,1067.0,Super Built up area 1067(99.13 sq.m.)Carpet area: 578 sq.ft. (53.7 sq.m.),2,2,2,1.0,East,Under Construction,1067.0,,578.0,0,1,0,0,0,1,122
sector 76,flat,godrej icon,1.75,1384.0,12645.0,Carpet area: 1175.11,3,3,3+,6.0,Na,New Property,,,1175.11,0,0,0,0,0,1,55
sector 92,flat,sare homes,1.19,5219.0,2280.0,Carpet area: 2280 (211.82 sq.m.),4,3,3,14.0,North,Relatively new property,,,2280.0,1,0,0,0,0,1,100
sector 90,flat,dlf new town heights,1.42,4864.0,2919.0,Super Built up area 2364(219.62 sq.m.),4,4,3+,8.0,East,Moderately New Property,2364.0,,,1,0,0,0,1,1,31
sector 26,house,independent,4.5,33333.0,1350.01,Plot area 150(125.42 sq.m.),5,5,3+,2.0,Na,Old Property,,1350.0,,0,0,0,0,0,1,7
sector 50,house,unitech aspen greens,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),3,4,2,1.0,East,Moderately New Property,,3240.0,,1,1,0,0,0,0,101
sector 92,house,ansal heights,2.75,9793.0,2808.13,Plot area 312(260.87 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.),4,4,3+,3.0,Na,Relatively new property,,5000.0,,0,1,0,1,0,1,0
sohna road,flat,eldeco accolade,0.95,6178.0,1538.0,Super Built up area 1457(135.36 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,8.0,South,Under Construction,1457.0,1050.0,849.0,0,1,1,0,0,1,72
sector 2,flat,ansal plaza,1.0,10000.0,1000.0,Built Up area: 1000 (92.9 sq.m.),2,3,0,1.0,Na,Undefined,,1000.0,,0,0,0,0,0,1,0
sector 33,flat,central park flower valley aqua front towers,1.7,9449.0,1799.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1590 sq.ft. (147.72 sq.m.),3,3,3+,5.0,East,New Property,1799.0,,1590.0,0,0,0,0,0,0,44
