,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
431,sector 28,house,dlf city plots phase 4,9.54,29444.0,3240.05,Plot area 360(301.01 sq.m.),6,5,3+,3.0,North,New Property,,3240.0,,1,1,0,1,1,1,153
450,sector 26,house,independent,26.0,82540.0,3149.99,Plot area 402(336.12 sq.m.)Built Up area: 400 sq.yards (334.45 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),16,16,3+,4.0,North-West,New Property,,400.0,350.0,1,1,0,1,1,0,72
451,sector 43,house,independent,6.5,35400.0,1836.16,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,3+,3.0,South-East,Moderately New Property,,215.0,,1,0,0,1,0,0,54
459,sector 25,house,independent,16.0,26667.0,5999.93,Built Up area: 6000 (557.42 sq.m.),6,5,2,3.0,East,Relatively new property,,6000.0,,0,0,0,0,0,1,0
461,sector 63,house,dlf the arbour,8.5,21519.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4,4,3+,27.0,Na,Undefined,,3950.0,,0,0,0,0,0,1,61
473,sector 56,house,independent,7.5,23148.0,3240.02,Plot area 360(301.01 sq.m.),8,8,3+,3.0,North-East,Relatively new property,,3240.0,,1,1,0,1,0,2,42
478,sector 28,house,housing board colony,5.5,30556.0,1799.97,Plot area 200(167.23 sq.m.),4,3,3,2.0,North,Old Property,,1800.0,,0,0,1,1,0,0,22
487,sector 12,house,independent,6.0,315789.0,190.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),9,6,2,2.0,North-East,Old Property,,,1600.0,0,0,0,0,0,1,0
492,sector 62,flat,pioneer urban presidia,7.15,16486.0,4337.0,Super Built up area 4337(402.92 sq.m.),4,5,3+,7.0,East,Relatively new property,4337.0,,,1,1,0,0,1,0,158
499,sector 72,flat,tata primanti,6.75,19285.0,3500.0,Super Built up area 4250(394.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,3+,0.0,North-East,New Property,4250.0,4000.0,3500.0,1,0,0,0,0,0,174
501,sector 40,house,independent house sector 45,9.0,38022.0,2367.05,Plot area 2367(219.9 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),12,12,3,4.0,North-West,New Property,,9000.0,6000.0,1,0,0,0,0,0,71
508,sector 67,house,ansal api esencia,5.46,24170.0,2259.0,Plot area 251(209.87 sq.m.),4,5,3+,2.0,East,Relatively new property,,2259.0,,0,1,0,1,1,0,103
512,sector 53,flat,tulip monsella,8.25,28000.0,2946.0,Super Built up area 2940(273.13 sq.m.),3,4,3,8.0,Na,Under Construction,2940.0,,,1,0,0,0,0,2,35
522,sector 66,house,emaar mgf marbella,9.01,16066.0,5608.12,Plot area 521,4,4,3+,3.0,North-East,Relatively new property,,5574.7,,1,0,0,0,1,1,122
524,sector 28,house,independent,11.25,34722.0,3240.02,Plot area 360(301.01 sq.m.),9,9,3+,2.0,North,Moderately New Property,,3240.0,,1,0,0,1,1,0,126
537,sector 43,house,independent,9.5,42222.0,2250.01,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,2.0,North-East,Relatively new property,,300.0,250.0,1,0,0,1,0,0,88
538,sector 50,house,unitech espace,11.5,35494.0,3239.98,Built Up area: 3240 (301.01 sq.m.),5,6,0,1.0,North-West,Undefined,,3240.0,,0,0,0,0,0,1,0
570,sector 43,house,independent,5.5,2716.0,20250.37,Plot area 215(179.77 sq.m.)Built Up area: 2850 sq.yards (2382.96 sq.m.)Carpet area: 2250 sq.yards (1881.29 sq.m.),8,7,3+,3.0,East,Moderately New Property,,2850.0,2250.0,1,1,1,1,0,0,123
582,sector 26,house,independent,17.0,37627.0,4518.03,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively new property,,4518.0,,1,1,0,1,1,0,124
593,sector 26,house,independent,6.75,27778.0,2429.98,Plot area 270(225.75 sq.m.),3,3,3,2.0,North-East,Moderately New Property,,2430.0,,0,0,0,0,0,1,27
620,sector 72,house,tata primanti,8.5,13492.0,6300.03,Plot area 6300(585.29 sq.m.),5,6,3+,10.0,East,Relatively new property,,6300.0,,1,1,0,1,1,0,145
626,sector 25,house,independent,10.0,37037.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3,3.0,North,Old Property,,2700.0,,1,0,0,0,1,0,64
636,gwal pahari,flat,krrish provence estate,5.5,9482.0,5800.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,11.0,East,New Property,5800.0,,,1,1,0,1,0,1,151
640,sector 49,house,ss aaron ville,6.75,15000.0,4500.0,Built Up area: 4500 (418.06 sq.m.),5,4,2,2.0,North,New Property,,4500.0,,0,0,1,0,0,1,49
652,sector 48,flat,central park resorts,9.3,24926.0,3731.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),4,4,3+,10.0,North-East,Moderately New Property,3931.0,3831.0,3731.0,1,1,0,1,1,0,67
653,sector 50,house,independent,7.0,32407.0,2160.03,Built Up area: 240 (200.67 sq.m.),3,2,0,1.0,Na,Undefined,,240.0,,0,0,0,0,0,1,0
654,sector 50,house,unitech espace,7.35,41762.0,1759.97,Plot area 240(200.67 sq.m.),4,4,3+,3.0,South,Moderately New Property,,240.0,,1,0,0,1,0,0,52
660,sector 50,flat,ss hibiscus,6.0,12272.0,4889.0,Super Built up area 4400(408.77 sq.m.),4,3,3,5.0,South-East,Moderately New Property,4400.0,,,1,0,0,0,0,1,31
668,sector 50,house,ss hibiscus,12.25,20940.0,5850.05,Plot area 5850(543.48 sq.m.),5,7,3+,1.0,South-East,Relatively new property,,5850.0,,1,1,1,1,0,0,160
670,sector 109,house,international city by sobha phase 1,5.5,21605.0,2545.71,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,New Property,,2430.0,,1,0,0,0,0,1,61
682,sector 25,house,independent,9.9,29333.0,3375.04,Plot area 375(313.55 sq.m.),5,5,2,2.0,South-East,Moderately New Property,,3375.0,,0,0,0,1,0,0,106
683,sector 65,flat,m3m golfestate,6.15,18287.0,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,23.0,Na,Moderately New Property,3363.0,,2710.0,1,1,0,0,0,0,60
687,sector 43,house,ansal sushant lok plots,5.8,29974.0,1935.01,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively new property,,1935.0,,1,0,1,0,0,0,49
730,sector 55,house,independent,9.19,34037.0,2700.0,Plot area 300(250.84 sq.m.),16,18,2,4.0,West,New Property,,2700.0,,1,0,0,1,0,0,49
736,sector 65,flat,m3m golfestate,5.5,16959.0,3243.0,Super Built up area 3243(301.28 sq.m.)Built Up area: 2803 sq.ft. (260.41 sq.m.)Carpet area: 2388 sq.ft. (221.85 sq.m.),3,4,3,3.0,North-East,Relatively new property,3243.0,2803.0,2388.0,1,0,0,0,0,1,49
745,sector 26,house,dlf city phase 1,9.25,47803.0,1935.02,Plot area 1935(179.77 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),12,12,3+,4.0,North-East,New Property,,7000.0,,1,0,0,1,0,0,43
749,sector 109,house,international city by sobha phase 1,5.85,26423.0,2213.98,Plot area 246(205.69 sq.m.),4,5,3+,2.0,East,Relatively new property,,2214.0,,1,0,0,0,0,0,85
756,sector 26,house,dlf city phase 1,5.5,30556.0,1799.97,Plot area 200(167.23 sq.m.),4,4,3,2.0,North-East,Moderately New Property,,1800.0,,1,1,0,1,0,1,69
777,sector 49,house,ss aaron ville,6.75,19737.0,3419.97,Plot area 380(317.73 sq.m.),5,4,2,2.0,North,Old Property,,3420.0,,1,1,0,0,1,1,78
786,sector 66,house,emaar mgf marbella,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,3.0,East,New Property,,3240.0,,1,0,0,1,1,0,106
792,sector 43,house,ansal sushant lok plots,7.0,25926.0,2699.99,Plot area 300(250.84 sq.m.),5,5,3+,3.0,North-East,Relatively new property,,2700.0,,1,1,0,1,0,0,41
819,sector 28,house,nul,12.5,51440.0,2430.02,Plot area 270(225.75 sq.m.),16,17,3+,4.0,South,Relatively new property,,2430.0,,1,1,1,1,0,2,137
831,sector 50,flat,the penthouses at the hibiscus,8.5,8500.0,10000.0,Carpet area: 10000 (929.03 sq.m.),4,4,3,9.0,South-East,Moderately New Property,,,10000.0,1,0,0,0,0,1,35
832,sector 33,house,unitech uniworld resorts,8.0,11428.0,7000.35,Plot area 7000(650.32 sq.m.),4,4,3+,2.0,West,Old Property,,7000.0,,1,1,0,1,1,1,77
836,sector 57,flat,bptp freedom park life,5.5,8982.0,6123.0,Built Up area: 5010 (465.44 sq.m.),5,6,3+,19.0,East,Moderately New Property,,5010.0,,1,0,0,1,0,0,153
