,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
1905,sector 104,flat,zara aavaas,0.49,6577.0,745.0,Super Built up area 745(69.21 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,7.0,Na,Under Construction,745.0,,645.0,0,0,0,0,0,1,74,248.33333333333334
1923,sector 4,house,not applicable,0.51,14167.0,359.99,Plot area 40(33.45 sq.m.),4,4,3,4.0,Na,New Property,,360.0,,0,0,0,0,0,1,0,89.9975
1934,sector 6,house,independent,0.5,13889.0,360.0,Plot area 40(33.45 sq.m.),5,3,3,3.0,Na,Old Property,,360.0,,0,0,0,0,0,1,0,72.0
1935,sector 2,house,palam vihar extension west zone rwa,0.4,4444.0,900.09,Plot area 900(83.61 sq.m.),6,4,2,2.0,West,Moderately New Property,,900.0,,0,0,0,0,0,1,36,150.01500000000001
1938,sohna road,flat,gls arawali homes,0.3,6237.0,481.0,Super Built up area 567(52.68 sq.m.)Carpet area: 480.53 sq.ft. (44.64 sq.m.),2,2,2,4.0,East,Relatively new property,567.0,,480.53,0,0,0,0,0,2,120,240.5
1977,sector 92,flat,gls avenue 51,0.42,6562.0,640.0,Carpet area: 640 (59.46 sq.m.),3,3,1,2.0,Na,Relatively new property,,,640.0,0,0,0,0,0,1,20,213.33333333333334
1993,sector 31,house,huda housing board colony,4.6,31506.0,1460.04,Plot area 1460(135.64 sq.m.),6,4,3+,3.0,East,Old Property,,1460.0,,0,0,1,0,0,1,8,243.34
2017,sector 43,house,ansal,1.85,34259.0,540.0,Plot area 60(5.57 sq.m.),8,8,3+,5.0,North-West,Relatively new property,,60.0,,0,0,0,0,0,1,53,67.5
2101,sector 47,house,independent,4.6,26620.0,1728.02,Plot area 192(160.54 sq.m.),7,6,3+,4.0,Na,Moderately New Property,,1728.0,,0,0,0,0,0,2,51,246.85999999999999
2105,sector 99a,flat,conscient habitat,0.27,5602.0,482.0,Carpet area: 484 (44.97 sq.m.),2,2,1,8.0,South-West,Relatively new property,,,484.0,0,0,1,0,0,1,49,241.0
2151,sector 7,house,independent,0.66,12000.0,550.0,Plot area 550(51.1 sq.m.),3,1,1,3.0,East,Relatively new property,,550.0,,0,0,1,0,0,1,22,183.33333333333334
2154,sector 3 phase 2,house,independent,1.1,10000.0,1100.0,Built Up area: 1100 (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),5,4,2,1.0,East,Undefined,,1100.0,900.0,0,0,0,0,0,1,0,220.0
2173,sector 57,house,sector 57 huda,3.8,26063.0,1458.01,Plot area 162(135.45 sq.m.)Built Up area: 162 sq.yards (135.45 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),8,8,3+,4.0,East,Relatively new property,,162.0,160.0,0,0,0,1,1,0,94,182.25125
2205,sector 3 phase 3 extension,house,independent,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),5,3,3,3.0,Na,Moderately New Property,,450.0,,0,0,0,0,0,1,0,90.0
2211,sector 107,flat,signature global solera,0.28,5680.0,493.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,West,Relatively new property,,,489.0,0,0,0,0,0,1,45,246.5
2213,sector 7,house,independent,0.27,12000.0,225.0,Plot area 225(20.9 sq.m.),2,2,1,2.0,North-East,Moderately New Property,,225.0,,0,0,0,0,0,1,12,112.5
2226,sector 95,flat,rof ananda,0.37,5745.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,6.0,South-East,Relatively new property,,,644.111776,0,0,0,1,0,0,72,214.66666666666666
2235,sector 12,house,independent,0.65,6500.0,1000.0,Carpet area: 1000 (92.9 sq.m.),6,2,3,1.0,Na,Undefined,,,1000.0,0,0,0,0,0,1,0,166.66666666666666
2244,sohna road road,house,independent,1.2,22297.0,538.19,Plot area 50,4,4,3+,4.0,West,Old Property,,535.0,,0,0,0,0,0,1,8,134.5475
2253,sector 12,house,bhawani enclave,0.42,8235.0,510.02,Plot area 565(52.49 sq.m.)Carpet area: 510 sq.ft. (47.38 sq.m.),3,3,0,2.0,East,New Property,,,510.0,0,0,0,1,0,1,0,170.00666666666666
2279,sector 2,house,independent,1.15,19360.0,594.01,Plot area 66(55.18 sq.m.),3,3,2,2.0,South-East,Old Property,,594.0,,0,0,0,0,0,0,32,198.00333333333333
2312,sector 17,house,independent,3.5,24306.0,1440.0,Built Up area: 160 (14.86 sq.m.),6,6,3+,3.0,North-West,Undefined,,160.0,,0,0,0,0,0,1,0,240.0
2326,sector 12,house,jacob pura,0.35,9722.0,360.01,Built Up area: 360 (33.45 sq.m.),2,1,0,,Na,Old Property,,360.0,,0,0,0,0,0,1,0,180.005
2408,sector 107,flat,signature global solera,0.27,5521.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,0.0,North-East,Relatively new property,,,489.0,0,0,0,0,0,1,45,244.5
2439,sector 28,house,housing board colony,3.5,25926.0,1350.0,Plot area 150(125.42 sq.m.),6,6,3,3.0,Na,Relatively new property,,1350.0,,0,0,0,0,0,1,0,225.0
2454,sector 7,house,shivpuri,2.8,12444.0,2250.08,Plot area 2250(209.03 sq.m.),10,7,3,1.0,Na,Old Property,,2250.0,,1,1,1,1,0,0,0,225.00799999999998
2476,sector 28,house,independent,0.7,8101.0,864.09,Plot area 864(80.27 sq.m.),4,2,0,2.0,North,Old Property,,864.0,,0,0,0,0,0,1,7,216.0225
2483,sector 107,flat,signature global solera,0.5,7752.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6.0,South-East,Relatively new property,,,645.0,0,0,1,0,0,1,15,215.0
2557,sector 2,house,independent,0.98,9074.0,1080.01,Carpet area: 120 (100.34 sq.m.),9,4,3,1.0,South,Undefined,,,120.0,0,0,0,0,0,1,0,120.00111111111111
2597,sohna road,flat,mvn athens,0.27,5895.0,458.0,Carpet area: 457.81 (42.53 sq.m.),2,2,1,4.0,South-East,Relatively new property,,,457.788667,0,0,1,0,0,0,35,229.0
2604,sector 9,house,independent,1.25,8735.0,1431.02,Plot area 159(132.94 sq.m.),10,6,3+,3.0,Na,Old Property,,1431.0,,0,0,0,0,0,1,0,143.102
2608,sector 7,house,independent,0.9,10000.0,900.0,Plot area 100(83.61 sq.m.),6,4,3,3.0,North-East,Old Property,,900.0,,1,0,1,0,0,0,44,150.0
2621,sector 107,flat,signature global solera,0.3,6135.0,489.0,Super Built up area 602(55.93 sq.m.)Carpet area: 489 sq.ft. (45.43 sq.m.),2,2,1,5.0,East,Relatively new property,602.0,,489.0,0,0,0,0,0,1,57,244.5
