sector,property_type,price,bedRoom,bathroom,balcony,floor_category,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category
sector 41,house,1.65,1,1,0,Low floor,Moderately New Property,1200.0,0,0,1,Low
sector 107,flat,0.37,2,2,1,Mid floor,Relatively new property,496.0,0,0,1,Medium
sector 28,flat,2.26,3,3,2,High floor,Old Property,1700.0,1,0,1,High
sector 92,flat,0.7,2,2,3,Mid floor,Under Construction,1217.0,0,0,1,Low
sector 1,flat,0.85,3,3,3+,Mid floor,Relatively new property,2081.0,1,0,1,Low
sector 57,house,4.6,6,6,3,Mid floor,Old Property,2700.0,1,1,2,Medium
sector 69,flat,1.68,3,3,2,Low floor,Relatively new property,1510.0,0,0,1,High
sector 95,flat,0.17,1,1,1,High floor,Relatively new property,3569.0,0,0,1,Medium
sector 48,flat,1.8,3,4,3,Mid floor,Moderately New Property,1951.0,0,0,0,Medium
sector 74,flat,1.54,2,2,3+,High floor,Relatively new property,1200.0,0,0,1,Medium
sector 26,house,4.6,4,4,3+,Low floor,Old Property,3771.0,0,0,1,Low
sector 62,flat,2.1,2,2,2,High floor,New Property,1365.0,1,0,1,Medium
sector 7,house,2.4,10,5,3,Low floor,Old Property,2700.0,1,0,1,Low
sector 92,house,0.75,2,2,3,Low floor,Relatively new property,959.0,0,0,1,Low
sector 69,flat,1.66,4,4,1,High floor,Relatively new property,1783.0,0,0,1,Medium
sector 109,flat,1.7,1,1,2,Mid floor,Relatively new property,965.0,0,0,1,Low
sector 105,flat,0.45,3,2,1,Low floor,Relatively new property,1056.0,0,0,0,Low
sector 48,house,7.25,4,4,3,Low floor,Relatively new property,3240.0,1,1,0,Medium
dwarka expressway,flat,1.3,3,3,2,Mid floor,Under Construction,1303.0,0,0,1,Low
sector 107,flat,1.29,3,3,3+,Low floor,Relatively new property,1690.0,0,0,0,High
sector 38,house,2.1,2,7,3+,Mid floor,Relatively new property,900.0,0,1,1,Low
sector 90,flat,1.2,3,3,3+,High floor,Relatively new property,1572.0,0,0,1,Medium
sector 9,house,3.5,9,9,3+,Mid floor,Relatively new property,2610.0,0,0,1,Low
sector 89,flat,0.86,2,3,2,Mid floor,New Property,1226.0,1,0,0,Medium
sector 70a,flat,1.18,2,2,3,Mid floor,New Property,1400.0,0,0,1,Medium
sector 104,flat,2.6,4,4,3+,High floor,Relatively new property,3064.0,1,0,0,High
sector 7,house,2.3,5,3,3+,Mid floor,Old Property,1350.0,1,0,1,Low
sector 7,house,1.16,2,4,2,Mid floor,Moderately New Property,1102.0,0,0,1,Low
sector 83,flat,1.42,4,4,3,Mid floor,Relatively new property,2000.0,1,0,1,Medium
sector 7,house,3.85,4,4,3,Mid floor,Old Property,2628.0,0,0,1,Low
sector 70,flat,1.75,3,5,0,Low floor,Relatively new property,1950.0,0,0,1,Low
sector 66,flat,3.0,3,3,2,High floor,Relatively new property,1950.0,1,0,1,Medium
sector 69,flat,1.7,4,4,2,Mid floor,Relatively new property,1804.0,1,1,1,High
sector 107,flat,0.5,3,2,2,Mid floor,Relatively new property,717.0,0,0,1,Low
sector 76,house,1.75,4,4,0,High floor,New Property,3111.0,0,0,1,Low
sector 69,flat,2.0,4,4,1,High floor,Relatively new property,2186.0,0,0,1,Medium
sector 83,flat,1.08,3,3,3,Mid floor,Relatively new property,1537.0,0,1,1,Medium
sector 48,house,8.5,4,4,2,Low floor,Moderately New Property,3240.0,1,1,1,Medium
sector 38,house,4.0,6,6,3+,Mid floor,Old Property,1836.04,1,0,0,Medium
sector 92,flat,0.95,4,3,2,High floor,New Property,1983.0,0,0,1,Low
sector 2,house,4.95,6,5,3+,Mid floor,Relatively new property,2430.0,1,0,1,Medium
sector 79,flat,1.1,2,2,3,Mid floor,New Property,81.0,0,0,1,Medium
sohna road,flat,0.75,2,2,0,Low floor,Relatively new property,1081.0,0,0,1,Medium
sohna road,flat,0.54,2,2,3,Mid floor,New Property,676.0,0,0,1,Low
sector 89,flat,0.5,2,2,1,Mid floor,Relatively new property,672.0,0,0,2,Medium
sector 84,flat,1.48,3,3,2,Low floor,New Property,1624.0,1,1,0,Medium
sector 37d,flat,1.5,3,2,3+,High floor,Relatively new property,1376.0,0,0,1,Low
sector 85,flat,1.19,2,2,3,High floor,Relatively new property,1670.0,0,0,1,Low
sector 79,flat,1.69,3,3,2,Mid floor,Relatively new property,1795.0,0,0,1,Medium
sector 82a,flat,3.5,5,5,3+,High floor,Relatively new property,2896.0,0,0,2,Low
sector 47,flat,0.65,1,1,2,Mid floor,Old Property,599.0,0,0,1,Medium
sector 4,house,2.35,4,4,2,Low floor,Old Property,1440.0,0,0,1,Low
sector 89,flat,0.42,2,2,2,Mid floor,Relatively new property,769.0,0,0,1,Low
sector 85,flat,1.1,2,2,3,Mid floor,Relatively new property,1600.0,0,0,1,High
sector 25,house,7.6,2,9,3,Mid floor,Relatively new property,1960.78,0,1,0,Medium
sector 58,flat,2.2,2,2,1,Mid floor,Relatively new property,1528.0,0,0,0,Low
sector 59,flat,6.75,4,4,2,Mid floor,New Property,2567.0,1,0,1,Low
sector 88a,flat,1.45,3,3,3,High floor,Relatively new property,1993.0,0,0,1,Low
sector 85,flat,2.03,4,4,3+,Mid floor,Relatively new property,2225.0,0,0,1,Low
sector 33,flat,1.5,3,3,3,Mid floor,Under Construction,1403.0,0,0,1,Medium
sector 48,flat,4.25,4,5,3+,High floor,Moderately New Property,4120.0,0,0,0,Medium
sector 102,flat,0.97,2,2,2,Mid floor,Relatively new property,742.0,0,0,1,High
sector 23,flat,0.16,2,2,2,Low floor,Moderately New Property,706.0,0,0,1,Low
sector 99a,flat,0.32,2,2,1,Low floor,New Property,577.0,0,0,1,Low
sector 86,flat,0.95,3,2,1,Mid floor,New Property,1878.0,0,0,1,Low
sector 107,flat,0.28,2,2,2,Mid floor,Relatively new property,543.0,0,0,1,Low
sector 70a,flat,1.8,3,3,3,Mid floor,Relatively new property,1925.0,0,0,1,Medium
sector 24,house,4.5,2,8,3+,Mid floor,Relatively new property,1350.01,1,1,0,Medium
sector 79,flat,0.78,2,2,3+,Low floor,New Property,1172.0,0,0,1,Medium
sector 52,flat,1.5,4,4,3,Mid floor,Old Property,1484.0,0,0,1,Medium
sector 92,flat,0.66,3,2,2,High floor,Relatively new property,1473.0,0,0,2,Low
sector 68,flat,0.93,2,2,2,High floor,New Property,1200.0,0,0,1,Low
sector 106,flat,1.15,3,3,3,High floor,Relatively new property,1650.0,1,0,0,High
sector 104,flat,0.49,3,2,2,Mid floor,Under Construction,695.0,0,0,1,Medium
sector 66,flat,2.1,3,4,2,High floor,Relatively new property,1800.0,1,0,0,High
sector 37d,flat,1.65,3,3,2,High floor,Relatively new property,1699.0,0,0,1,Medium
sector 109,flat,0.79,3,2,2,Mid floor,Relatively new property,1213.0,0,0,0,Low
sector 112,flat,2.6,2,2,3,Mid floor,Relatively new property,2441.0,0,0,1,High
sector 107,flat,0.9,2,2,3+,Mid floor,Relatively new property,1236.0,0,0,0,Low
sector 9a,flat,1.25,4,3,3,Low floor,Old Property,2007.0,1,0,0,Low
sector 49,flat,2.51,3,3,3+,Mid floor,Old Property,2061.0,0,0,0,Medium
sector 79,flat,1.93,3,4,3+,Mid floor,Relatively new property,2047.0,1,0,1,High
sector 14,house,6.46,5,5,2,Mid floor,Moderately New Property,3419.98,1,0,0,Low
sector 108,house,1.34,1,1,0,Low floor,Relatively new property,2680.0,0,0,1,Low
sector 112,flat,6.5,4,5,3,High floor,Relatively new property,4800.0,0,0,1,Medium
sector 82,flat,0.97,3,4,2,High floor,Relatively new property,1620.0,1,0,1,Medium
sector 74,flat,2.25,3,3,2,Mid floor,Relatively new property,1938.0,1,0,0,High
sector 91,flat,1.75,4,4,3+,Mid floor,Relatively new property,2139.0,1,0,1,Medium
sector 78,flat,1.25,4,4,3,Low floor,Relatively new property,2300.0,1,0,1,Medium
sector 90,flat,0.45,2,2,1,Low floor,New Property,696.0,0,0,0,Low
sector 95,flat,0.48,2,2,2,Mid floor,Relatively new property,744.0,0,0,1,Low
sector 25,house,4.31,5,4,3,Mid floor,Old Property,1350.0,0,0,1,Low
sector 84,flat,0.35,2,2,1,Mid floor,Relatively new property,528.0,0,0,1,Low
sector 62,flat,2.1,2,2,3,High floor,New Property,1500.0,0,0,0,Low
sector 104,flat,2.52,4,4,3+,High floor,Relatively new property,2800.0,1,1,0,High
sector 91,flat,1.8,3,3,3+,Low floor,Relatively new property,2578.0,0,0,2,Low
sector 67,flat,2.95,3,3,3+,High floor,Moderately New Property,2236.0,1,0,0,High
sector 81,flat,0.89,2,2,2,Mid floor,Under Construction,1194.0,0,0,1,Low
sector 2,house,0.4,3,4,2,Low floor,Moderately New Property,900.0,0,0,1,Low
sector 49,flat,2.35,3,3,3,High floor,Relatively new property,2030.0,0,0,1,Low
sector 92,house,1.8,4,5,0,High floor,Relatively new property,2360.0,0,0,1,Low
sohna road,flat,0.3,2,2,2,Mid floor,Relatively new property,524.0,0,0,2,Medium
sector 81,flat,2.4,3,3,3+,High floor,Relatively new property,1650.0,1,0,2,Low
sector 103,house,3.15,4,5,0,High floor,Relatively new property,4700.0,0,0,1,Medium
sector 37d,flat,0.71,2,2,3,Mid floor,New Property,1100.0,0,0,1,Low
sector 95,flat,0.32,2,2,1,Mid floor,Relatively new property,610.0,0,0,0,Medium
sector 110,flat,4.49,5,5,3+,Mid floor,Relatively new property,3511.0,1,0,1,High
sector 90,flat,1.0,3,4,3,Mid floor,New Property,1765.0,1,0,1,Medium
sector 53,flat,6.02,3,3,3,High floor,Under Construction,2892.0,0,0,1,Medium
sector 107,flat,1.02,2,2,3,Mid floor,Relatively new property,1388.0,0,0,1,Medium
sector 65,flat,2.1,2,2,2,High floor,New Property,1186.0,0,0,1,Medium
sector 109,house,5.75,4,4,2,Mid floor,Relatively new property,4800.0,1,0,1,Medium
sector 112,flat,5.2,4,6,3+,High floor,Relatively new property,3655.35,1,0,0,High
sector 54,flat,1.75,4,3,3+,Mid floor,Old Property,1900.0,0,0,0,Low
sohna road,flat,0.73,2,2,3,Mid floor,Relatively new property,1148.0,0,0,1,Medium
sector 46,house,3.6,5,5,3+,Mid floor,Moderately New Property,1448.98,1,0,0,Medium
sector 78,flat,1.1,3,3,3+,Mid floor,Old Property,2176.0,1,0,1,Medium
sector 69,flat,1.19,2,3,1,Low floor,Relatively new property,1500.0,0,0,1,High
sector 84,flat,0.89,3,3,3,Mid floor,Relatively new property,1833.0,0,0,1,Medium
sector 89,flat,1.1,2,2,2,Mid floor,New Property,1226.0,0,1,1,Medium
sector 71,flat,0.37,1,1,2,Low floor,Relatively new property,425.0,0,0,0,Low
sector 70,flat,1.07,2,2,3,Mid floor,Relatively new property,1222.0,0,0,1,Medium
sector 43,flat,2.5,3,2,3,Mid floor,Old Property,1674.0,0,0,1,Low
sector 37c,flat,1.22,3,4,3,Mid floor,Relatively new property,1665.0,0,0,1,Medium
sector 26,house,31.5,7,9,3+,Mid floor,Moderately New Property,9000.0,1,1,2,Medium
sector 80,flat,0.85,1,1,1,High floor,Relatively new property,761.0,0,0,1,Medium
sector 89,house,0.7,2,2,2,High floor,New Property,1297.0,0,0,1,Low
sector 6,house,0.4,4,2,2,Low floor,Moderately New Property,1600.0,0,0,1,Low
gwal pahari,flat,1.5,4,4,3+,Mid floor,Moderately New Property,1850.0,0,0,1,Medium
sector 72,flat,5.0,4,4,3+,Low floor,Moderately New Property,4500.0,1,0,0,High
sector 84,flat,0.34,2,2,1,Mid floor,Relatively new property,533.0,0,1,1,Medium
sector 28,house,9.0,6,7,3+,Mid floor,Moderately New Property,3240.0,1,1,1,Medium
sohna road,flat,0.21,1,1,1,High floor,New Property,500.0,0,0,1,Low
sector 22,flat,6.16,4,5,3+,Mid floor,New Property,3333.0,1,0,0,Low
sector 104,flat,0.85,2,2,3+,Mid floor,Relatively new property,1269.0,0,0,1,Medium
sector 99a,flat,1.6,3,3,3,Mid floor,Under Construction,1810.0,0,0,1,Low
sector 81,flat,0.64,2,2,3,High floor,Relatively new property,1361.0,0,0,0,Medium
sector 50,house,10.0,5,7,2,Mid floor,Moderately New Property,7000.0,1,0,2,Low
sector 92,flat,0.42,3,3,1,Low floor,Relatively new property,711.0,0,0,1,Low
sector 103,flat,1.9,3,4,3+,Mid floor,Relatively new property,3716.0,1,0,0,Low
sector 62,flat,7.56,4,4,3+,High floor,Relatively new property,4200.0,1,0,0,Medium
sector 48,house,6.0,4,4,3+,Low floor,Moderately New Property,2700.0,1,0,1,Medium
sector 76,house,0.75,2,2,2,High floor,New Property,745.0,0,0,1,Low
manesar,house,2.0,3,1,0,Mid floor,Moderately New Property,1337.4,0,0,1,Low
sector 110,flat,1.6,2,2,2,Low floor,Relatively new property,73.0,0,0,1,Low
sector 53,flat,5.0,3,4,3+,Mid floor,Relatively new property,2500.0,1,0,0,Low
sector 67,house,1.5,5,3,2,Low floor,New Property,200.0,0,0,1,Low
sector 54,flat,11.0,4,6,3,Mid floor,Relatively new property,2826.0,1,0,2,Medium
sector 113,flat,2.78,3,4,3+,Mid floor,Relatively new property,2350.0,1,0,1,High
sector 60,flat,3.75,4,5,3,High floor,Relatively new property,2534.0,1,0,1,High
sector 81,flat,3.46,4,4,3+,Mid floor,New Property,2599.0,1,0,2,High
sector 12,flat,0.35,2,2,1,Low floor,Moderately New Property,737.0,0,0,1,Low
sector 31,house,4.6,2,4,3+,Mid floor,Old Property,1460.04,0,0,1,Low
sector 103,flat,1.15,2,2,3,Mid floor,Relatively new property,1250.0,0,0,0,Medium
sector 61,flat,2.6,3,3,2,Low floor,New Property,1766.0,0,0,1,Low
sector 49,flat,0.87,1,1,1,Low floor,Relatively new property,500.0,0,0,1,Low
sector 109,flat,1.68,3,3,3+,Mid floor,Moderately New Property,2303.0,1,0,1,Medium
sector 37d,flat,1.95,4,3,3,Mid floor,Under Construction,1650.0,0,0,1,Medium
sector 9a,flat,0.88,3,3,2,Low floor,Old Property,1438.0,0,0,0,Low
sector 90,flat,1.29,3,3,3+,High floor,Relatively new property,1817.0,1,0,1,High
sector 65,flat,1.73,3,3,3,Mid floor,Relatively new property,1262.0,1,0,2,High
sector 99a,flat,1.32,3,5,3,High floor,New Property,1737.0,1,0,1,Medium
sector 61,flat,1.57,2,2,2,Mid floor,New Property,1150.0,0,0,1,Medium
sector 43,flat,4.2,3,4,2,Mid floor,Under Construction,2125.0,0,0,1,Low
sector 56,flat,1.37,3,3,3+,Low floor,Old Property,1450.0,0,0,1,High
sector 65,flat,2.1,2,2,3,Mid floor,New Property,1015.0,0,0,1,Low
sector 28,flat,4.3,3,4,3,Mid floor,Old Property,3133.0,1,1,1,Low
sector 11,house,1.2,7,3,0,Mid floor,Moderately New Property,300.0,0,0,1,Low
sector 74,flat,1.52,2,2,3,Mid floor,Relatively new property,1250.0,0,1,1,High
sector 89,flat,1.01,2,2,2,Mid floor,Under Construction,1226.0,0,0,1,Low
sector 104,flat,2.3,3,4,3+,High floor,New Property,2544.0,1,0,1,Medium
sector 92,flat,0.99,3,2,3,Low floor,New Property,1661.0,0,0,1,Low
sector 60,flat,3.75,4,4,3,High floor,Relatively new property,2650.0,1,0,0,Low
sector 107,flat,1.49,3,4,3+,Mid floor,Relatively new property,2137.0,1,1,0,High
sector 110,flat,3.79,5,5,3,Mid floor,Relatively new property,3466.0,1,0,1,Medium
sector 103,flat,0.9,2,2,2,Low floor,Relatively new property,1222.0,0,0,1,Low
sector 65,flat,2.0,2,2,2,High floor,New Property,1186.0,0,0,0,High
sector 92,flat,0.75,3,2,2,Mid floor,New Property,1298.0,0,0,1,Medium
sector 84,flat,1.15,2,2,3,Mid floor,Relatively new property,1361.0,0,0,0,Low
sector 28,flat,3.0,3,5,3+,Mid floor,Old Property,2590.0,0,0,1,Low
sector 10a,flat,2.3,6,4,2,Mid floor,Moderately New Property,3951.0,0,0,1,Low
sector 37c,flat,0.99,3,5,3+,Mid floor,Relatively new property,1400.0,1,0,1,Low
sector 47,house,1.15,3,3,3,Low floor,Old Property,275.0,0,0,0,Low
sector 17b,house,8.5,4,4,2,Low floor,Old Property,4517.91,1,0,0,Low
sector 49,flat,2.7,3,4,3+,Mid floor,Moderately New Property,2159.0,0,0,1,Low
sector 92,flat,0.42,2,2,1,Mid floor,Relatively new property,657.0,0,0,0,Low
sector 45,house,17.0,5,8,3+,Mid floor,Relatively new property,4500.0,1,1,2,High
sector 2,flat,0.98,2,2,3,Low floor,Moderately New Property,1281.0,0,0,1,Medium
sohna road,flat,0.4,2,2,1,Low floor,New Property,669.0,0,0,0,Medium
sector 108,flat,2.0,3,3,3+,High floor,Relatively new property,2116.0,1,0,1,Medium
sector 90,flat,1.9,4,4,3+,Mid floor,Relatively new property,2468.0,1,0,1,Medium
sector 82,flat,1.38,4,5,3+,High floor,Relatively new property,2294.0,1,0,1,Medium
sector 8,house,0.59,2,2,2,Low floor,Moderately New Property,585.0,0,0,1,Low
sector 77,flat,1.05,3,3,3,Mid floor,Relatively new property,1600.0,0,0,1,Low
sector 104,flat,1.85,3,4,3+,High floor,Relatively new property,2072.0,1,1,1,Medium
sector 49,house,6.75,4,4,3,Mid floor,Relatively new property,2087.97,1,0,0,Low
sector 70,flat,1.65,3,3,2,Mid floor,Relatively new property,2167.0,0,0,1,Medium
sector 104,flat,1.9,3,3,3,High floor,Under Construction,1365.0,0,0,0,Medium
sector 104,flat,0.98,3,3,3,High floor,Relatively new property,1490.0,0,0,1,Medium
sector 50,house,7.0,4,4,2,Mid floor,Old Property,3400.0,1,0,1,Medium
sector 92,flat,0.6,3,2,3,Mid floor,Moderately New Property,1333.0,0,0,0,Low
sector 70a,flat,2.55,3,3,3,High floor,New Property,2000.0,1,0,0,High
sector 4,flat,0.21,1,1,1,Low floor,Relatively new property,500.0,0,0,1,Low
sector 50,house,6.5,5,6,0,Low floor,Moderately New Property,3000.0,0,0,1,Low
sector 24,flat,4.25,3,4,3+,Mid floor,Old Property,3201.0,1,1,0,Medium
sector 2,flat,0.75,2,2,2,High floor,Old Property,1100.0,0,0,0,Low
sector 66,flat,1.32,2,2,2,Mid floor,Relatively new property,1048.0,0,0,1,Low
sector 92,flat,1.1,3,2,3,Low floor,Relatively new property,2350.0,0,0,1,Low
sector 102,flat,2.12,3,3,3,Mid floor,Relatively new property,1852.0,0,0,1,Medium
sohna road,flat,0.32,2,2,2,High floor,Relatively new property,616.0,0,0,0,Low
sector 86,flat,0.41,2,2,1,Mid floor,Relatively new property,668.0,0,0,1,Medium
sector 105,house,1.3,3,3,1,Low floor,Moderately New Property,1125.0,0,0,1,Low
sector 3,house,0.9,3,3,0,Low floor,Moderately New Property,112.0,0,0,1,Low
sector 12,house,1.7,5,5,3,Mid floor,Moderately New Property,2000.0,0,0,1,Low
sector 102,flat,2.5,4,5,3+,Mid floor,Relatively new property,2600.0,1,0,0,High
sector 67a,flat,0.6,2,2,2,High floor,New Property,633.0,0,0,1,Low
sector 3,house,0.9,3,1,0,Low floor,Moderately New Property,1008.0,0,0,1,Low
sector 69,flat,1.36,3,3,2,High floor,Relatively new property,1428.0,0,0,0,Low
sector 110,house,1.0,3,2,2,Low floor,Old Property,120.0,0,0,1,Low
sector 61,flat,2.1,3,3,3,High floor,Relatively new property,1592.0,0,0,0,Low
sector 108,flat,0.97,2,2,3,Mid floor,Relatively new property,1167.0,1,0,1,High
sector 50,house,11.58,5,5,3,Low floor,Moderately New Property,3240.0,1,0,1,Low
sector 107,flat,0.8,2,2,3+,Mid floor,Relatively new property,1236.0,0,0,0,High
sector 49,flat,2.65,3,4,3,High floor,Moderately New Property,2251.0,1,0,0,Medium
sector 84,flat,1.5,3,3,3,High floor,Relatively new property,1833.0,1,0,0,Low
sector 63,flat,4.49,4,4,3+,Mid floor,New Property,3150.0,0,0,0,Medium
sohna road,flat,0.35,2,2,1,Low floor,New Property,699.0,0,0,1,Medium
sector 103,flat,1.15,2,2,3,Mid floor,Relatively new property,1080.0,0,0,0,High
sector 92,flat,1.68,3,4,3+,High floor,Relatively new property,1804.0,1,0,0,High
sector 72,flat,3.5,4,5,3+,High floor,Relatively new property,2625.0,1,0,1,Low
sector 11,house,1.8,8,5,2,Low floor,Moderately New Property,2476.0,0,0,1,Low
sector 85,flat,1.15,2,2,3,High floor,Relatively new property,1263.0,0,0,1,Medium
sector 71,flat,1.35,4,4,3,Mid floor,Moderately New Property,2127.0,1,0,1,Low
sector 56,flat,1.55,3,3,3+,Mid floor,Moderately New Property,1900.0,1,0,0,Medium
sector 108,flat,1.7,3,4,3+,High floor,Relatively new property,1500.29,1,0,1,Medium
sector 95,flat,0.2,1,1,1,Mid floor,Relatively new property,407.0,0,0,1,Medium
sector 112,flat,2.5,2,2,3,Mid floor,Relatively new property,1939.03,0,0,0,High
sector 33,flat,1.08,2,2,3,Mid floor,Under Construction,85.0,0,0,1,Medium
sector 62,flat,10.75,5,7,3,Mid floor,Relatively new property,4990.0,1,0,0,High
sector 89,flat,1.3,3,3,2,Low floor,New Property,1179.0,0,0,1,Low
sector 103,flat,0.89,2,3,3,Low floor,Relatively new property,1257.0,1,0,1,Medium
sector 81,flat,2.29,3,4,3+,High floor,Relatively new property,1900.0,1,0,2,Medium
sector 50,house,7.0,4,4,2,Low floor,Old Property,2160.0,1,0,1,Low
sector 66,flat,3.4,3,4,3,Mid floor,Relatively new property,2200.0,1,1,0,Medium
sector 67,flat,2.7,4,4,3+,Mid floor,Moderately New Property,2127.0,1,0,0,Medium
sector 107,flat,0.75,2,2,3+,High floor,Relatively new property,1201.0,0,0,1,High
sector 92,house,0.85,4,4,3,Mid floor,Relatively new property,1743.0,0,0,1,Low
sector 103,flat,2.45,4,6,3,Mid floor,Relatively new property,2602.0,1,0,1,Low
sector 99a,flat,0.32,2,2,2,High floor,New Property,502.0,0,0,1,Medium
sector 104,flat,1.25,3,4,3+,High floor,Relatively new property,1669.0,1,0,1,Medium
sector 108,flat,3.95,3,5,2,High floor,New Property,2343.0,1,0,1,Medium
sector 92,flat,0.78,2,2,3,Low floor,Under Construction,846.0,0,0,1,Low
sector 47,house,4.6,2,6,3+,Mid floor,Moderately New Property,1728.02,0,0,2,Medium
sector 9,house,1.1,4,3,1,Low floor,Old Property,200.0,0,0,1,Low
sector 85,flat,1.91,4,6,3,Mid floor,Relatively new property,3890.0,1,0,1,High
sector 84,flat,1.1,3,3,2,Mid floor,Relatively new property,1584.0,0,0,1,Medium
sector 99a,flat,0.27,2,2,1,Mid floor,Relatively new property,538.0,0,0,1,Low
sector 109,house,5.7,4,4,3+,Mid floor,Relatively new property,5400.0,1,0,1,Medium
sector 109,house,5.7,4,5,3+,Mid floor,Relatively new property,5400.0,1,1,1,High
sector 79,flat,1.9,3,4,2,High floor,New Property,2389.0,1,0,1,Low
sector 69,flat,1.7,4,4,2,Low floor,Relatively new property,1819.0,0,0,1,Medium
sector 79,flat,1.3,3,3,2,Mid floor,Relatively new property,1215.0,0,0,1,High
sector 56,flat,0.58,1,1,1,Low floor,Old Property,672.0,0,0,1,Medium
sector 102,flat,2.15,3,4,3,High floor,Relatively new property,1945.0,1,0,1,Medium
sector 70a,flat,1.1,2,2,2,Mid floor,Relatively new property,1312.0,0,0,1,Low
sector 85,flat,1.77,3,4,3,Mid floor,Moderately New Property,1450.0,1,0,0,Medium
sector 70,flat,2.0,4,5,3+,Mid floor,Moderately New Property,2114.0,1,0,0,Medium
sector 106,flat,0.88,2,2,3+,Mid floor,Relatively new property,1120.0,0,0,1,Low
sector 99,flat,2.45,3,4,3,Low floor,New Property,2516.0,1,0,0,High
sector 50,flat,2.6,3,4,2,High floor,Relatively new property,2700.0,1,0,0,High
sector 41,flat,2.75,3,3,2,High floor,Old Property,1640.0,0,0,2,Medium
sector 26,house,18.25,7,9,3+,Mid floor,Relatively new property,11111.0,1,1,0,Medium
sector 108,flat,1.25,3,2,0,Low floor,Relatively new property,1991.0,0,0,0,Medium
sector 67a,flat,0.53,2,2,1,Mid floor,Relatively new property,657.0,0,0,0,Low
sector 102,flat,1.05,2,2,2,Low floor,Under Construction,1017.0,0,0,1,Low
sector 102,flat,1.82,3,4,3+,High floor,Relatively new property,1757.0,1,0,1,Medium
sector 36a,flat,2.2,2,2,2,High floor,New Property,1338.0,0,0,1,Low
sector 90,flat,1.75,4,4,3+,High floor,Relatively new property,2468.0,1,0,1,Medium
sector 11,house,3.08,6,4,2,Low floor,Moderately New Property,2700.0,0,0,1,Low
sector 84,flat,0.9,3,3,3,High floor,Relatively new property,1833.0,1,0,1,Medium
sohna road,flat,1.01,2,2,3,High floor,Under Construction,1184.0,0,0,1,Medium
sector 91,flat,1.8,4,3,3+,Low floor,Relatively new property,2578.0,0,0,2,Low
sector 102,flat,1.9,3,4,3+,High floor,Relatively new property,1757.0,1,0,1,High
sector 85,flat,1.99,3,4,3+,High floor,Relatively new property,2398.0,1,0,0,High
sector 33,flat,1.67,3,2,2,High floor,Under Construction,1857.0,0,0,1,Medium
sector 92,flat,0.5,2,2,2,Low floor,Relatively new property,905.0,0,0,1,Medium
sector 50,flat,1.14,2,2,2,High floor,Moderately New Property,1330.0,0,0,0,High
sohna road,flat,0.42,2,2,1,High floor,Relatively new property,650.0,0,0,1,Low
sector 57,flat,1.5,3,2,3+,Low floor,Moderately New Property,273.0,0,0,1,Medium
sector 90,flat,0.5,2,2,2,Low floor,Under Construction,796.0,0,0,1,Low
sector 99a,flat,0.59,2,2,3,Low floor,Under Construction,1133.0,0,0,1,Medium
sector 3,flat,0.26,2,1,2,Low floor,Relatively new property,611.0,0,0,1,Low
sector 83,flat,1.3,3,3,3,High floor,Relatively new property,1387.0,1,0,0,High
sector 90,flat,1.76,4,4,3+,Mid floor,Relatively new property,2020.0,0,0,0,Medium
sector 99a,flat,1.38,4,5,3+,Low floor,Relatively new property,2150.0,1,0,1,Low
sector 72,flat,5.25,4,4,3+,High floor,New Property,3000.0,1,0,0,High
sector 26,house,17.0,5,6,3,Low floor,Old Property,4518.0,1,1,0,Medium
sector 85,flat,1.14,2,2,3,High floor,Relatively new property,1604.0,0,0,1,Low
sector 15,house,1.07,2,2,1,Low floor,Old Property,900.0,1,0,1,Low
sector 7,house,0.66,3,1,1,Mid floor,Relatively new property,550.0,0,0,1,Low
sector 14,flat,2.75,4,5,3+,Mid floor,Old Property,2200.0,1,0,2,Medium
sector 66,flat,4.85,4,4,3+,High floor,Relatively new property,3500.0,1,1,0,High
sector 26,house,13.5,5,5,2,Low floor,Moderately New Property,4518.0,1,0,0,Medium
sector 83,flat,3.15,5,7,3+,High floor,Relatively new property,3200.0,1,0,0,High
sector 92,flat,1.22,4,3,3,Mid floor,Under Construction,2093.0,1,0,1,Medium
sector 4,house,4.75,5,5,1,Low floor,Old Property,5067.0,1,0,0,Low
sector 92,flat,0.6,2,2,3,High floor,Under Construction,1195.0,0,0,1,Low
sector 46,house,5.65,8,6,3+,Mid floor,Moderately New Property,2367.0,1,0,0,Medium
sector 70,flat,1.63,3,3,3,Mid floor,New Property,1527.0,1,0,1,Low
sector 104,flat,0.82,2,2,3,High floor,Relatively new property,86.0,0,0,1,Medium
sector 90,flat,1.25,3,3,3+,Mid floor,Relatively new property,1929.0,1,0,1,Medium
sector 83,flat,1.72,3,3,3,Mid floor,Relatively new property,1600.0,1,0,0,High
sector 2,flat,1.18,2,2,3,Mid floor,Old Property,1416.0,0,0,1,Medium
sector 89,flat,0.86,2,3,3,Mid floor,Under Construction,998.0,0,0,1,Low
sector 79,flat,1.15,3,3,3+,Low floor,Under Construction,1200.0,0,0,1,Medium
sector 23,house,2.4,3,3,2,Low floor,Moderately New Property,2000.0,0,1,1,Low
sector 68,flat,1.0,2,2,3,High floor,New Property,1311.0,0,0,1,Low
sector 109,flat,1.7,3,3,3,High floor,Relatively new property,1550.0,0,0,1,Medium
