sector,property_type,price,bedRoom,bathroom,balcony,floor_category,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category
sector 33,flat,1.35,3,4,2,Mid floor,Moderately New Property,1398.0,1,0,1,Low
sector 26,house,20.0,5,7,3+,Mid floor,Relatively new property,4500.0,1,0,2,Medium
sector 65,flat,2.9,4,4,3+,Mid floor,Relatively new property,1975.0,1,0,0,High
sector 53,flat,4.8,3,4,3+,High floor,New Property,2895.0,0,0,1,Medium
sector 48,flat,2.75,3,4,3+,Mid floor,Moderately New Property,2574.0,0,0,1,Low
sector 102,flat,1.4,2,2,2,High floor,New Property,1166.0,0,0,0,Low
sector 81,flat,0.39,2,2,2,Mid floor,Relatively new property,667.0,0,0,1,Low
sector 43,flat,6.0,4,4,2,Low floor,Under Construction,2667.0,1,0,0,Low
sohna road,flat,0.67,2,2,3,Mid floor,Relatively new property,1095.0,0,0,1,Medium
sector 4,house,0.67,3,3,2,Low floor,Relatively new property,76.0,0,0,1,Low
sector 68,flat,1.15,2,2,3,Mid floor,New Property,1127.0,0,0,1,Low
sohna road,flat,0.71,2,2,3,Mid floor,Relatively new property,1154.0,0,0,1,High
sector 89,flat,0.95,2,2,2,Low floor,Under Construction,804.0,0,0,1,Medium
sector 76,flat,1.75,3,3,3+,Mid floor,New Property,1306.0,0,0,1,Medium
sector 92,flat,1.19,4,3,3,High floor,Relatively new property,2533.0,1,0,1,Medium
sector 90,flat,1.42,4,4,3+,Mid floor,Moderately New Property,2139.0,1,1,1,Low
sector 26,house,4.5,5,5,3+,Low floor,Old Property,1350.01,0,0,1,Low
sector 50,house,12.0,3,4,2,Low floor,Moderately New Property,3240.0,1,0,0,Medium
sector 92,house,2.75,4,4,3+,Mid floor,Relatively new property,5000.0,0,0,1,Low
sohna road,flat,0.95,2,2,3+,Mid floor,Under Construction,1050.0,0,0,1,Medium
sector 2,flat,1.0,2,3,0,Low floor,Moderately New Property,1000.0,0,0,1,Low
sector 33,flat,1.7,3,3,3+,Mid floor,New Property,1697.0,0,0,0,Low
sector 2,flat,1.55,3,4,3+,Mid floor,Moderately New Property,1738.0,1,0,1,Medium
sector 12,house,0.9,2,4,0,Low floor,Old Property,675.0,0,0,1,Low
sector 111,flat,2.65,3,4,2,Mid floor,Relatively new property,2086.0,1,0,0,High
sector 37c,flat,1.26,3,3,3,Mid floor,New Property,1400.0,0,0,1,Low
sector 61,flat,1.41,2,2,2,Low floor,Under Construction,1150.0,0,0,1,Medium
sector 92,flat,1.25,3,4,3+,Low floor,Old Property,1608.0,1,0,2,Low
sohna road,flat,1.05,2,2,3,Low floor,New Property,1175.97,0,0,1,Low
sector 82,house,1.6,4,4,3+,High floor,Moderately New Property,2425.0,1,0,1,Medium
sector 109,flat,1.4,3,3,3+,Mid floor,Relatively new property,1584.0,0,0,1,Medium
sector 82,house,4.7,3,3,3+,Mid floor,New Property,2160.0,1,0,1,Low
sector 85,flat,1.12,2,2,3,Mid floor,Relatively new property,1485.0,0,0,1,Low
sohna road,flat,0.28,2,2,2,High floor,New Property,588.0,0,0,1,Low
sector 89,flat,0.65,2,2,2,High floor,Under Construction,1390.0,0,0,1,Low
sector 3 phase 3 extension,house,0.85,1,1,0,Low floor,Moderately New Property,1000.0,0,0,1,Low
sector 66,house,8.7,4,5,2,Mid floor,New Property,2249.98,1,0,1,Medium
sector 102,flat,1.52,3,3,3,Mid floor,Relatively new property,1315.0,1,0,0,Medium
sector 37d,flat,1.45,3,3,3,Mid floor,Relatively new property,1711.0,0,0,1,Medium
sector 104,flat,1.32,2,2,2,Mid floor,Relatively new property,1403.0,0,0,1,Medium
sector 60,flat,2.82,3,3,3,Low floor,Relatively new property,2400.0,1,0,0,High
sector 102,flat,1.26,2,2,2,Mid floor,Relatively new property,1100.0,0,0,1,Medium
sohna road,flat,0.27,2,2,2,Mid floor,New Property,521.0,0,0,1,Low
sector 102,flat,1.9,3,3,3+,Low floor,Relatively new property,2500.0,1,0,1,High
sector 86,flat,0.5,2,2,2,Mid floor,Old Property,573.0,0,0,1,Low
sohna road,flat,0.29,2,2,1,Mid floor,Relatively new property,577.0,0,0,1,Low
sector 43,house,15.5,5,6,3,Mid floor,Moderately New Property,5490.0,1,1,1,Medium
sector 26,house,18.0,6,6,2,Mid floor,Old Property,4518.0,1,0,0,Low
sector 49,flat,1.85,3,3,1,Mid floor,Moderately New Property,1471.12,0,1,1,High
sector 81,flat,3.25,4,4,3+,High floor,Moderately New Property,2491.0,1,0,1,Low
sector 88a,flat,1.5,3,3,2,Mid floor,Relatively new property,2056.0,0,0,1,Low
sector 84,flat,0.85,2,2,3,Mid floor,New Property,1222.0,0,0,1,Low
sector 82a,flat,1.85,3,3,3+,Low floor,Relatively new property,1668.0,0,0,0,Low
sector 6,house,0.66,3,2,1,Low floor,Old Property,612.0,0,0,1,Low
sector 37c,flat,0.66,2,2,3+,High floor,Relatively new property,1310.0,0,0,1,Medium
sector 111,flat,1.65,3,4,3+,High floor,Under Construction,2104.0,1,0,1,Low
sector 77,flat,0.71,2,2,2,Mid floor,Relatively new property,1057.0,0,0,1,Medium
sector 85,flat,2.0,3,4,3,Mid floor,Relatively new property,2026.0,1,0,1,High
sector 25,house,7.5,9,9,3+,Mid floor,Relatively new property,2300.5,1,0,0,High
sector 2,flat,0.95,2,2,3,Mid floor,Old Property,1573.0,0,0,0,Medium
sector 90,flat,1.25,3,3,3,High floor,Moderately New Property,1541.0,1,0,1,Low
sector 84,flat,0.39,2,2,0,Mid floor,Relatively new property,549.0,0,0,1,Low
sector 92,flat,0.79,3,2,2,High floor,New Property,1175.0,0,0,1,Low
sector 83,flat,1.33,4,4,3,Mid floor,Relatively new property,2193.0,1,0,1,Low
sector 84,flat,2.28,4,4,3+,Mid floor,Relatively new property,2998.0,1,0,1,Medium
sector 49,flat,2.45,3,3,3,Low floor,Relatively new property,1865.0,0,0,1,Low
sector 4,house,1.1,4,4,3+,Low floor,Old Property,1800.0,0,0,1,Low
sector 79,flat,1.2,3,3,3,Mid floor,Relatively new property,1321.0,0,0,0,Medium
sector 70a,house,2.1,3,2,1,Mid floor,New Property,667.0,0,0,1,Low
sector 69,flat,1.2,2,3,0,Low floor,Relatively new property,1100.0,0,0,1,Medium
sector 28,flat,2.35,3,3,2,High floor,Old Property,1608.0,1,0,1,Medium
sector 69,flat,1.9,4,4,2,Mid floor,Relatively new property,1743.0,0,1,1,High
sector 49,house,4.4,6,6,3,Mid floor,Moderately New Property,2880.0,1,1,2,Medium
sohna road,flat,0.68,2,2,2,Mid floor,New Property,916.0,0,0,1,Medium
sector 109,flat,1.7,3,3,3+,Mid floor,Relatively new property,2303.0,1,0,1,High
sector 63,flat,7.8,4,4,0,Mid floor,New Property,3950.0,0,0,1,Medium
sector 106,flat,1.5,4,6,3+,High floor,Relatively new property,1535.0,1,0,1,High
sector 83,flat,1.76,3,3,3,Mid floor,Relatively new property,1600.0,1,0,0,High
sector 93,flat,0.4,2,2,2,High floor,New Property,604.0,0,0,1,Low
sector 81,flat,0.48,2,2,1,High floor,Relatively new property,547.0,0,0,0,Low
sector 54,house,25.0,4,4,3+,Low floor,Moderately New Property,8035.74,1,1,1,Low
sector 61,flat,1.58,2,2,2,Mid floor,New Property,1278.0,0,0,1,Low
sector 104,flat,2.55,4,4,3+,Mid floor,Relatively new property,2303.0,1,0,1,Low
sector 33,flat,1.2,2,2,2,Low floor,Under Construction,1492.0,0,0,1,Medium
gwal pahari,flat,0.95,3,3,3,High floor,Old Property,1778.0,0,0,1,Low
sector 3,house,0.8,2,4,1,Low floor,Moderately New Property,981.0,0,0,1,Low
sector 89,flat,1.32,3,3,3,Low floor,Under Construction,867.0,0,0,1,Low
sector 11,flat,0.8,3,2,0,Low floor,Old Property,1403.0,0,0,1,Low
sector 83,flat,0.85,2,2,2,High floor,Moderately New Property,1100.0,0,0,0,Medium
sector 65,flat,2.85,4,4,3+,Low floor,Relatively new property,1975.0,1,0,0,High
sector 11,house,0.24,2,2,0,Low floor,Relatively new property,450.0,0,0,1,Low
sector 65,flat,1.99,2,2,2,High floor,Under Construction,1140.0,0,0,1,Low
sector 54,flat,1.75,3,3,3+,Mid floor,Moderately New Property,2100.0,1,0,0,Medium
sector 102,flat,1.91,3,4,2,High floor,Relatively new property,1587.0,1,0,0,High
sector 65,flat,1.9,2,2,3,Mid floor,Under Construction,1141.0,0,0,1,Medium
sector 113,flat,1.65,3,2,2,Mid floor,Relatively new property,1420.0,0,0,1,Low
sector 2,house,19.5,8,9,3+,Low floor,New Property,7200.0,1,0,1,Medium
sector 99,flat,0.95,2,3,3,Mid floor,Relatively new property,1611.0,1,0,1,Low
sector 69,flat,1.32,3,3,1,High floor,Relatively new property,1419.0,0,0,1,Medium
sector 22,flat,4.1,3,3,3+,Low floor,New Property,2069.0,0,0,2,Medium
sector 67,flat,3.15,3,4,3+,High floor,Relatively new property,2219.0,1,0,0,Medium
sector 31,house,4.6,2,2,2,Low floor,Moderately New Property,1426.0,0,0,1,Low
sector 82,house,7.5,5,5,3+,Low floor,Relatively new property,3240.0,1,0,0,Medium
