sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
sector 82,flat,vatika the seven lamps,0.85,5977.0,1422.0,Super Built up area 1430(132.85 sq.m.),2,2,2,9.0,North-East,Relatively new property,1430.0,,,0,1,0,0,0,1,117,711.0
sector 47,house,malibu towne,8.81,27191.0,3240.04,Plot area 360(301.01 sq.m.),8,6,3+,3.0,East,Moderately New Property,,3240.0,,1,1,1,0,0,0,27,405.005
sector 11,house,independent,1.35,3857.0,3500.13,Plot area 3500(325.16 sq.m.),10,6,3+,3.0,Na,Old Property,,3500.0,,0,0,0,0,0,1,0,350.01300000000003
sector 88a,flat,godrej oasis,1.45,8367.0,1733.0,Super Built up area 161Carpet area: 108.4 sq.m.,2,2,3+,9.0,Na,Relatively new property,161.0,,108.4,0,1,0,0,0,2,85,866.5
sector 69,flat,unitech sunbreeze,0.74,5502.0,1345.0,Super Built up area 1337(124.21 sq.m.),3,3,1,10.0,Na,Under Construction,1337.0,,,1,0,0,0,0,1,60,448.3333333333333
sector 110,flat,indiabulls enigma,4.0,9850.0,4061.0,Built Up area: 3350 (311.23 sq.m.),4,4,3,17.0,Na,New Property,,3350.0,,0,0,0,0,0,1,59,1015.25
sector 113,flat,la vida by tata housing,3.05,15561.0,1960.0,Super Built up area 2690(249.91 sq.m.)Built Up area: 2150 sq.ft. (199.74 sq.m.)Carpet area: 1960 sq.ft. (182.09 sq.m.),3,4,3,3.0,North-West,Relatively new property,2690.0,2150.0,1960.0,1,0,0,0,0,1,174,653.3333333333334
sohna road,flat,hcbs sports ville,0.2,2667.0,750.0,Super Built up area 750(69.68 sq.m.)Built Up area: 743 sq.ft. (69.03 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,1,4.0,Na,New Property,750.0,743.0,600.0,0,0,0,0,0,1,15,375.0
sector 104,flat,ats triumph,2.63,9564.0,2750.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 2750 sq.ft. (255.48 sq.m.),4,4,3+,21.0,North,Relatively new property,3150.0,,2750.0,1,0,0,0,0,0,161,687.5
sohna road,flat,breez global heights,0.46,6479.0,710.0,Carpet area: 710 (65.96 sq.m.),2,2,2,6.0,East,Relatively new property,,,710.0,0,0,0,0,0,2,49,355.0
sector 69,flat,tulip violet,1.68,8350.0,2012.0,Super Built up area 2010(186.74 sq.m.),4,4,2,1.0,South-West,Relatively new property,2010.0,,,0,0,0,1,0,1,102,503.0
sector 78,flat,umang monsoon breeze,0.7,5719.0,1224.0,Built Up area: 1224 (113.71 sq.m.),2,2,2,5.0,Na,Undefined,,1224.0,,0,0,0,0,0,1,0,612.0
sector 90,flat,dlf new town heights,1.95,7151.0,2727.0,Super Built up area 2727(253.35 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3+,24.0,North-East,Relatively new property,2727.0,,2200.0,1,0,0,0,1,1,174,681.75
sector 89,flat,nbcc heights,1.5,7059.0,2125.0,Super Built up area 2125(197.42 sq.m.),3,3,3,8.0,Na,Relatively new property,2125.0,,,1,1,0,0,0,1,105,708.3333333333334
sector 67,house,ireo victory valley,8.0,22222.0,3600.04,Plot area 400(334.45 sq.m.),6,7,3+,51.0,North-East,Moderately New Property,,3600.0,,1,1,0,1,0,0,49,600.0066666666667
sector 41,house,unitech palms south city 1,9.35,28858.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 7500 sq.ft. (696.77 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),10,10,3+,4.0,North-East,Moderately New Property,,7500.0,6000.0,1,1,0,0,0,0,70,324.0
sector 65,flat,emaar mgf emerald floors premier,2.3,13939.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,4,3,3.0,South-West,Relatively new property,,,1650.0,1,1,0,1,1,2,174,550.0
sector 102,flat,shapoorji pallonji joyville gurugram,1.9,10259.0,1852.0,Super Built up area 1852(172.06 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,15.0,North-East,New Property,1852.0,1700.0,1450.0,0,0,0,1,0,1,174,617.3333333333334
sector 65,flat,m3m heights,2.8,14997.0,1867.0,Super Built up area 1828(169.83 sq.m.),3,3,3,20.0,North-East,Under Construction,1828.0,,,0,0,0,0,0,1,91,622.3333333333334
sector 9,house,independent,0.35,9722.0,360.01,Plot area 40(33.45 sq.m.),2,2,1,2.0,South-East,Old Property,,360.0,,0,0,0,0,0,1,0,180.005
sector 56,flat,kendriya vihar,0.55,9016.0,610.0,Carpet area: 610 (56.67 sq.m.),1,2,1,0.0,Na,Old Property,,,610.0,0,0,0,0,0,1,68,610.0
sector 37c,flat,corona optus,1.25,8929.0,1400.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,South-East,Relatively new property,1735.0,,1400.0,0,1,0,0,0,1,49,466.6666666666667
sector 85,flat,ss the leaf,2.15,8929.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,5,3,2.0,Na,New Property,2408.0,,,0,0,0,0,0,1,53,802.6666666666666
sector 53,flat,parsvnath exotica,6.5,19174.0,3390.0,Super Built up area 3390(314.94 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,5,3+,10.0,South,Relatively new property,3390.0,3000.0,2500.0,1,1,0,1,0,0,174,847.5
sector 103,flat,ansal housing highland park,1.25,6443.0,1940.0,Super Built up area 1940(180.23 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3,3,3+,2.0,North-East,New Property,1940.0,,1056.0,0,0,0,1,0,1,105,646.6666666666666
sector 3 phase 3 extension,house,independent,0.75,6410.0,1170.0,Built Up area: 130 (12.08 sq.m.),2,2,0,1.0,Na,Undefined,,130.0,,0,0,0,0,0,1,0,585.0
sector 103,flat,signature global grand iva,0.23,6534.0,352.0,Carpet area: 360 (33.45 sq.m.),1,1,1,4.0,North-East,Relatively new property,,,360.0,0,0,0,0,0,1,23,352.0
sector 43,house,independent,1.9,3909.0,4860.0,Plot area 60(50.17 sq.m.)Built Up area: 60 sq.yards (50.17 sq.m.),3,3,3+,3.0,Na,Old Property,,60.0,,0,0,0,0,0,2,0,1620.0
